Cable System Name,Operators,Known Users (ASes),Length of Cable System (km),Sources,Connecting cables,Landing Point 1,Landing Point 2,Landing Point 3,Landing Point 4,Landing Point 5,Landing Point 6,Landing Point 7,Landing Point 8,Landing Point 9,Landing Point 10,Landing Point 11,Landing Point 12,Landing Point 13,Landing Point 14,Landing Point 15,Landing Point 16,Landing Point 17,Landing Point 18,Landing Point 19,Landing Point 20,Landing Point 21,Landing Point 22,Segment 1,Segment 1 Length (km),Segment 1 Predicted RTT (ms),Segment 2,Segment 2 Length (km),Segment 2 Predicted RTT (ms),Segment 3,Segment 3 Length (km),Segment 4,Segment 4 Length (km),Segment 4 Predicted RTT (ms),Segment 5,Segment 5 Length (km),Segment 5 Predicted RTT (ms),Segment 6,Segment 6 Length (km),Segment 6 Predicted RTT (ms),Segment 7,Segment 7 Length (km),Segment 7 Predicted RTT (ms),Segment 8,Segment 8 Length (km),Segment 8 Predicted RTT (ms),Segment 9,Segment 9 Length (km),Segment 9 Predicted RTT (ms),Segment 10,Segment 10 Length (km),Segment 10 Predicted RTT (ms),Segment 11,Segment 11 Length (km),Segment 11 Predicted RTT (ms),Segment 12,Segment 12 Length (km),Segment 12 Predicted RTT (ms),Segment 13,Segment 13 Length (km),Segment 13 Predicted RTT (ms),Segment 14,Segment 14 Length (km),Segment 14 Predicted RTT (ms),Segment 15,Segment 15 Length (km),Segment 15 Predicted RTT (ms),Segment 16,Segment 16 Length (km),Segment 16 Predicted RTT (ms),Segment 17,Segment 17 Length (km),Segment 17 Predicted RTT (ms),Segment 18,Segment 18 Length (km),Segment 18 Predicted RTT (ms)
Name of submarine cable,List of owners of submarine cable infrastructure separated by comma,"List of ASes known to purchase space on submarine cables separated by comma. If same as operators, left blank.",Length of entire cable system over all segments,List of web pages used to gather information separated by comma.,"Name of the secondary cable system that connects to the cable system (for an example of what this looks like, refer to tata-tgn-gulf and SEACOM)","Landing point 1 City, Country. If landing point is in US, two letter state code appears after city and before comma (ex. New York City NY, US). NOTE: will not be 18 landing points for most cables. Segment data starts after 18 LP columns","Landing point 2 City, Country","Landing point 3 City, Country","Landing point 4 City, Country","Landing point 5 City, Country","Landing point 6 City, Country","Landing point 7 City, Country","Landing point 8 City, Country","Landing point 9 City, Country","Landing point 10 City, Country","Landing point 11 City, Country","Landing point 12 City, Country","Landing point 13 City, Country","Landing point 14 City, Country","Landing point 15 City, Country","Landing point 16 City, Country","Landing point 17 City, Country","Landing point 18 City, Country","Landing point 19 City, Country","Landing point 20 City, Country","Landing point 22 City, Country","Landing point 22 City, Country","City, Country end points of cable segment 1 in following format: city1, country1; city2, country 2","Length of cable segment 1 in km. If length is not available, left blank.",Officially reported expected RTT of cable segment,"If segment connects to another segment rather than a landing point, format it as follows:[segment1city1, segment1country1; segment1city2,segment1country2]; segment2city, segment2country",Length of cable segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2africa,"Bayobab, China Mobile, Meta, Orange, Saudi Telecom, Telecom Egypt, Vodafone, WIOCC",,,https://www.infrapedia.com/subsea-cable/2africasharpemic-1,,"Abu Dhabi, United Arab Emirates","Accra, Ghana","Barcelona, Spain","Bude, United Kingdom","Cape Town, South Africa","Dar Es Salaam, Tanzania","Jeddah, Saudi Arabia","Lagos, Nigeria","Luanda, Angola","Manama, Bahrain","Maputo, Mozambique","Marseille, France","Mombasa, Kenya","Mumbai, India",,,,,,,,,"Bude, United Kingdom; Cape Town, South Africa",,,"Bude, United Kingdom; Accra, Ghana",,,"Bude, United Kingdom; Mombasa, Kenya",,"Bude, United Kingdom; Luanda, Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acs-alaska-oregon-network-akorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aden-djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adria-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec-1,Aqua Comms,"Zayo, Arelion, PCCW Global",5536,https://go.zayo.com/Zayo_Network_Capabilities_Mapbook,celtixconnect-1-cc-1,"Killala, Ireland","Shirley, NY, US","Holyhead, United Kingdom",,,,,,,,,,,,,,,,,,,,"Killala, Ireland; Shirley, NY, US",,,"Holyhead, United Kingdom; Shirley, NY, US",,67.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
africa-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
africa-coast-to-europe-ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alaska-united-east-au-east,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alaska-united-southeast-au-se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
